project,datapoint,n_commits,n_files,n_files_updated_i,shared_files
commons-lang,93f0804ec277686fb32f7ac46f10a2d6e3d7dc7d_818d2e89a44e5ba105656360beebe8786ab70e2a,4,5,1,1
commons-lang,b0ce240871d3c358c779d79108d06f4efff4eae4_818d2e89a44e5ba105656360beebe8786ab70e2a,2,2,1,1
commons-lang,b0ce240871d3c358c779d79108d06f4efff4eae4_45c66cd5bd2c9b47a342b12e9b5b65784e726051,3,2,1,2
commons-lang,9800f287d158e2dc40594698ddce8d486d292873_cb0c61e7caf99be3db763c8b33b1066582b536af,2,2,2,1
commons-lang,eb492c32a43e243a1f3f360aef7d4d53a22af10a_98b597117bfcd6b8098bf3c2e1fcc8cbdb0df921,2,49,49,1
commons-lang,98b597117bfcd6b8098bf3c2e1fcc8cbdb0df921_167f4764aa16683484c58cd474f9f150863e4b77,2,57,54,4
commons-lang,98b597117bfcd6b8098bf3c2e1fcc8cbdb0df921_c6fc9e0e0b9e21b8e802435aeb0be334c00ea24d,3,57,2,6
commons-lang,98b597117bfcd6b8098bf3c2e1fcc8cbdb0df921_41296b873ae08ff6ce7a8157055f453547a6616a,4,57,2,6
commons-lang,c6fc9e0e0b9e21b8e802435aeb0be334c00ea24d_41296b873ae08ff6ce7a8157055f453547a6616a,2,2,2,1
commons-lang,c6fc9e0e0b9e21b8e802435aeb0be334c00ea24d_b6b8ac722cc747cefb69f68733493901cf2e4ac7,3,4,2,1
commons-lang,c6fc9e0e0b9e21b8e802435aeb0be334c00ea24d_5dbb0ce3e919f0db22f38a343e4b51ac2b67b5a7,4,6,2,1
commons-lang,b6b8ac722cc747cefb69f68733493901cf2e4ac7_5dbb0ce3e919f0db22f38a343e4b51ac2b67b5a7,2,3,2,0
commons-lang,b6b8ac722cc747cefb69f68733493901cf2e4ac7_3ce16bc3e7f37bf4031a64696bd27ec943547e0e,3,169,169,3
commons-lang,3ce16bc3e7f37bf4031a64696bd27ec943547e0e_a40957d41f35baa19c357600a435a93986dab578,2,2,2,1
commons-lang,3ce16bc3e7f37bf4031a64696bd27ec943547e0e_e99dc1595126b5a406c0ddafb3bf3b7547db5e47,3,20,19,2
commons-lang,3ce16bc3e7f37bf4031a64696bd27ec943547e0e_7c246adf18862e1091834695d5be10895aa2d38e,4,23,4,3
commons-lang,e99dc1595126b5a406c0ddafb3bf3b7547db5e47_7c246adf18862e1091834695d5be10895aa2d38e,2,4,4,1
commons-lang,e99dc1595126b5a406c0ddafb3bf3b7547db5e47_9e304b8d2dcee861179311b34a6727b9a02e1683,3,6,3,2
commons-lang,e99dc1595126b5a406c0ddafb3bf3b7547db5e47_bea03ce29d97bfc73414026d2b7e823b3cbaa323,4,6,1,3
commons-lang,9e304b8d2dcee861179311b34a6727b9a02e1683_bea03ce29d97bfc73414026d2b7e823b3cbaa323,2,1,1,1
commons-lang,9e304b8d2dcee861179311b34a6727b9a02e1683_2512b2cbfe065a5f278fc96d463d800f1bf0a642,3,5,4,1
commons-lang,9e304b8d2dcee861179311b34a6727b9a02e1683_300f4dcd0b94a76ddc6145ca6e1e780ee418223d,4,7,2,1
commons-lang,2512b2cbfe065a5f278fc96d463d800f1bf0a642_300f4dcd0b94a76ddc6145ca6e1e780ee418223d,2,3,2,0
commons-lang,2512b2cbfe065a5f278fc96d463d800f1bf0a642_20871926bc62c5f4be782ce6b9864f8cb2f22633,3,3,1,1
commons-lang,2512b2cbfe065a5f278fc96d463d800f1bf0a642_3ed4cc3a025327f90b401f43e729cb4c9127367d,4,19,16,1
commons-lang,20871926bc62c5f4be782ce6b9864f8cb2f22633_3ed4cc3a025327f90b401f43e729cb4c9127367d,2,16,16,0
commons-lang,20871926bc62c5f4be782ce6b9864f8cb2f22633_302553ddc609cbc067cc9cb47512aa1e953b6c4b,3,24,10,2
commons-lang,20871926bc62c5f4be782ce6b9864f8cb2f22633_035c74bc185eed33e483a1743e01fa52d0de58d5,4,30,11,5
commons-lang,302553ddc609cbc067cc9cb47512aa1e953b6c4b_035c74bc185eed33e483a1743e01fa52d0de58d5,2,11,11,2
commons-lang,343b1206ff2a24dc1285fb971a5fb2826ffdaea6_d195200972e385713c449abc9d35da6b90a3297d,2,2,1,1
commons-lang,343b1206ff2a24dc1285fb971a5fb2826ffdaea6_d48fae2ad7cf74134a0c788d91b6668197655a89,3,2,1,1
commons-lang,343b1206ff2a24dc1285fb971a5fb2826ffdaea6_73721dd55db45f35af9f67e6dcc443b3f2f24a53,4,2,0,1
commons-lang,d48fae2ad7cf74134a0c788d91b6668197655a89_73721dd55db45f35af9f67e6dcc443b3f2f24a53,2,0,0,0
commons-lang,d48fae2ad7cf74134a0c788d91b6668197655a89_d25f73fcd441718fb8fbcf1fd85f161e12bb3d8f,3,3,3,0
commons-lang,b4255e6d071dc8d48bfc51037cecb29097b9a49d_e3165ba2e0d0c47d9073dbd295d5fe3fa7f67432,2,4,3,1
commons-lang,b4255e6d071dc8d48bfc51037cecb29097b9a49d_f01f5b966f0c12b575182efcd59da8463ed8a81d,3,5,2,2
commons-lang,b4255e6d071dc8d48bfc51037cecb29097b9a49d_141af07e352d6b0262fc403d63396a7d07884a21,4,6,2,3
commons-lang,f01f5b966f0c12b575182efcd59da8463ed8a81d_141af07e352d6b0262fc403d63396a7d07884a21,2,2,2,1
commons-lang,f01f5b966f0c12b575182efcd59da8463ed8a81d_6a8400efd4b447c18bef19bcf406f63460a3b874,3,2,1,2
