project,datapoint,n_commits,n_files,n_files_updated_i,shared_files
commons-lang,b007be7679490b7084537c0a45d388e9ad578d49_a1344d49a2e3dd74136fa119e3dde9a0fe7494aa,4,31,2,0
commons-lang,5eb28ea81253f0921f407b767df438d7e983199d_a1344d49a2e3dd74136fa119e3dde9a0fe7494aa,2,3,2,0
commons-lang,5eb28ea81253f0921f407b767df438d7e983199d_dd7c61e324143fbbdba01958aca582561fbaab8f,3,6,3,0
commons-lang,5eb28ea81253f0921f407b767df438d7e983199d_3755cdbe36549361b9c7246a4020d56f2bcbc2a0,4,9,3,0
commons-lang,dd7c61e324143fbbdba01958aca582561fbaab8f_3755cdbe36549361b9c7246a4020d56f2bcbc2a0,2,4,3,0
commons-lang,dd7c61e324143fbbdba01958aca582561fbaab8f_f39b6b9341fa07ba75a7871615c7b4cf3a5f7c32,3,6,2,0
commons-lang,dd7c61e324143fbbdba01958aca582561fbaab8f_e050dd903db0b3cbe0f12e20088760f9f700cd3d,4,9,3,0
commons-lang,f39b6b9341fa07ba75a7871615c7b4cf3a5f7c32_e050dd903db0b3cbe0f12e20088760f9f700cd3d,2,4,3,0
commons-lang,f39b6b9341fa07ba75a7871615c7b4cf3a5f7c32_d9aaaaedcf362f83b224a3f77f53321fccf8818d,3,20,16,0
commons-lang,f39b6b9341fa07ba75a7871615c7b4cf3a5f7c32_0efd8fd3c64c7231922af6757c3078de693558c7,4,23,3,0
commons-lang,d9aaaaedcf362f83b224a3f77f53321fccf8818d_0efd8fd3c64c7231922af6757c3078de693558c7,2,7,3,0
commons-lang,d9aaaaedcf362f83b224a3f77f53321fccf8818d_ec18a45b2381af003f7fce71805cd6aa1af4e7f4,3,11,4,0
commons-lang,d9aaaaedcf362f83b224a3f77f53321fccf8818d_aacc8ccd92810de22a7cebe659b76005500c5241,4,13,2,0
commons-lang,ec18a45b2381af003f7fce71805cd6aa1af4e7f4_aacc8ccd92810de22a7cebe659b76005500c5241,2,3,2,0
commons-lang,ec18a45b2381af003f7fce71805cd6aa1af4e7f4_3d9408fd0e24f12f0a9ecbd9a3503e067c0848d5,3,12,9,0
commons-lang,ec18a45b2381af003f7fce71805cd6aa1af4e7f4_82227e222dc3a52989b93d9be76bc3f0a0642b09,4,20,8,0
commons-lang,3d9408fd0e24f12f0a9ecbd9a3503e067c0848d5_82227e222dc3a52989b93d9be76bc3f0a0642b09,2,16,8,0
commons-lang,3d9408fd0e24f12f0a9ecbd9a3503e067c0848d5_3ac63bf6816dff81e8b3de035797f08c9203394d,3,20,5,1
commons-lang,5bc8b52cd157e73e52307eade88bdc1fc13baf6f_70916d288bad21901f0083b5e5d19f2b7076dcce,2,5,2,1
commons-lang,5bc8b52cd157e73e52307eade88bdc1fc13baf6f_10e107f1bcad24eec4558d55b11ddce442cb4afd,3,5,1,1
commons-lang,5bc8b52cd157e73e52307eade88bdc1fc13baf6f_7755e454364ca5eef7338ec4e3632a977218ef44,4,10,5,1
commons-lang,10e107f1bcad24eec4558d55b11ddce442cb4afd_7755e454364ca5eef7338ec4e3632a977218ef44,2,6,5,0
commons-lang,10e107f1bcad24eec4558d55b11ddce442cb4afd_350b13ea547e118e4bf2672b0899e7158b9da71c,3,10,4,0
commons-lang,ae8ebc7f1697cb2b55457ae3d23a6338784d347f_da3824b28088ace38a0267e645a583fe15f23515,2,5,2,0
commons-lang,94384a6a7ad58fec6b7a6f7fcc6b6bea13093b80_a42f813eba0f43bbf1c62e76d56f8c2ead3feb3e,2,3,2,0
commons-lang,94384a6a7ad58fec6b7a6f7fcc6b6bea13093b80_346e68cfd40cbae1f5edf8eef7566c2a8f0b18aa,3,5,2,0
commons-lang,94384a6a7ad58fec6b7a6f7fcc6b6bea13093b80_cbbb7b8f164e67cdcf3b6a55baba1498dade9a10,4,7,2,0
commons-lang,346e68cfd40cbae1f5edf8eef7566c2a8f0b18aa_cbbb7b8f164e67cdcf3b6a55baba1498dade9a10,2,3,2,0
commons-lang,346e68cfd40cbae1f5edf8eef7566c2a8f0b18aa_12821f3ddaaa5c947455dbe5846ffef0ec79e1cb,3,6,3,0
commons-lang,346e68cfd40cbae1f5edf8eef7566c2a8f0b18aa_b85fe855e44881f4f2f8c0f89acd69a93406d8c9,4,74,72,4
commons-lang,12821f3ddaaa5c947455dbe5846ffef0ec79e1cb_b85fe855e44881f4f2f8c0f89acd69a93406d8c9,2,72,72,1
commons-lang,12821f3ddaaa5c947455dbe5846ffef0ec79e1cb_42d511bf3eca7e9bbbbb3ba760c2372ac92af529,3,72,2,2
commons-lang,12821f3ddaaa5c947455dbe5846ffef0ec79e1cb_34d25d74636254918e371e437d6234d5534693ae,4,73,3,3
commons-lang,42d511bf3eca7e9bbbbb3ba760c2372ac92af529_34d25d74636254918e371e437d6234d5534693ae,2,3,3,1
commons-lang,3b76fddfc506a527be0cd8d444d122cda6ca047f_07b87645e9d97565cf6bcbc566bb798512e0856b,2,2,2,1
commons-lang,3b76fddfc506a527be0cd8d444d122cda6ca047f_56617c70b51a609915791452fbc484867ff8b599,3,2,2,2
commons-lang,3b76fddfc506a527be0cd8d444d122cda6ca047f_80bd78ea0685d28ddec9b8162d652db9dec949ce,4,5,4,2
commons-lang,56617c70b51a609915791452fbc484867ff8b599_80bd78ea0685d28ddec9b8162d652db9dec949ce,2,4,4,1
commons-lang,56617c70b51a609915791452fbc484867ff8b599_e0374981f7ef354d517307e9883f0d9dfd826620,3,8,4,1
commons-lang,56617c70b51a609915791452fbc484867ff8b599_7a3a5632945cb8c48ace5516a7ac9a72d4f6b15c,4,9,2,2
commons-lang,e0374981f7ef354d517307e9883f0d9dfd826620_7a3a5632945cb8c48ace5516a7ac9a72d4f6b15c,2,5,2,0
commons-lang,e0374981f7ef354d517307e9883f0d9dfd826620_cbf58b80e327fdb1e80512af0feb314dc3e668cd,3,15,10,0
commons-lang,e0374981f7ef354d517307e9883f0d9dfd826620_2ae1161fdfd85c346b9f3779f13040d2521ca5f2,4,16,2,1
commons-lang,cbf58b80e327fdb1e80512af0feb314dc3e668cd_2ae1161fdfd85c346b9f3779f13040d2521ca5f2,2,2,2,1
commons-lang,cbf58b80e327fdb1e80512af0feb314dc3e668cd_53281ccce97361d4d2cfd1a14afc8708e8864ae1,3,10,10,2
commons-lang,cbf58b80e327fdb1e80512af0feb314dc3e668cd_b1ed20911df88f83ed7165ac66618fdfdcd456b5,4,27,19,4
commons-lang,53281ccce97361d4d2cfd1a14afc8708e8864ae1_b1ed20911df88f83ed7165ac66618fdfdcd456b5,2,20,19,0
commons-lang,69cb0a9a0d56cf9630858aa496318f06a81b7da1_f83d778483edd6b9216a33bb5f0baee209f40400,2,2,2,1
commons-lang,69cb0a9a0d56cf9630858aa496318f06a81b7da1_f6cbef5650d8972093003888ab54cb0f7fe129b9,3,19,18,2
commons-lang,8afcc552d9ff4f8d7afc3a92af498218352452e5_4e2f2e912d1c8fec5003487d0c9b261a9d0d38b2,2,3,1,0
commons-lang,8315bc995bc84bae42978246f238e5f471786a9f_6f2b27d55654f71feb5bfb9f85f3b51420441e30,2,2,2,1
commons-lang,3b6c6f374efd19b4ad93e3ce0377979cee1a2cc2_35ff13d0da70fe0a865b3f7bdfa6201270f0bd3a,2,2,2,1
commons-lang,3b6c6f374efd19b4ad93e3ce0377979cee1a2cc2_8c86ea487410d8e8ed22b14a9843155008ebed19,3,4,2,1
commons-lang,3b6c6f374efd19b4ad93e3ce0377979cee1a2cc2_74e28e85166eaa3314a63b66694fc6cfd09f3cc8,4,6,2,1
commons-lang,8c86ea487410d8e8ed22b14a9843155008ebed19_74e28e85166eaa3314a63b66694fc6cfd09f3cc8,2,3,2,0
commons-lang,8c86ea487410d8e8ed22b14a9843155008ebed19_1912c15a36af0f9a7507a4820b8e13e5b5c34e03,3,5,2,0
commons-lang,69eb8025127b738eacfbcaf67ea6a7b426048ec4_eb94e61a64105bcdd6afd0f6377de7b4fa7fa105,2,2,2,1
commons-lang,69eb8025127b738eacfbcaf67ea6a7b426048ec4_b4be05344e8de29147380c476fd457e4cb7d733d,3,3,2,1
commons-lang,69eb8025127b738eacfbcaf67ea6a7b426048ec4_4ed69365ef04de6205b830ee22804e3497b28143,4,5,2,1
commons-lang,b4be05344e8de29147380c476fd457e4cb7d733d_4ed69365ef04de6205b830ee22804e3497b28143,2,3,2,0
commons-lang,b4be05344e8de29147380c476fd457e4cb7d733d_69a5b0ed0f72a943284392c565d30e4130a068fd,3,5,2,0
commons-lang,8dcf405909e7368581adaa4c6596cc2af360219c_8958fd4a0f1046afc36198e2ea609c923fdc927a,2,2,2,1
commons-lang,4cc6a136753c044ef9bd2bb334d3e19eb9c51972_d21847dd3f01c8e946fffc28a5af1d81a217f3da,2,2,1,0
commons-lang,5853fbc1afb9e2020248e0daf5bf1197845a309d_e145b130997365037a429992b93aaf9f91ee046d,2,4,3,0
commons-lang,faeae8d94bcd37c2d8a2a38c210313e3050e3067_b733934479d537d1a439b437183e74014bc85c32,2,15,14,0
commons-lang,faeae8d94bcd37c2d8a2a38c210313e3050e3067_7202939fd1f3d96909cfb7574e94d62beb7b7ae8,3,15,3,3
commons-lang,faeae8d94bcd37c2d8a2a38c210313e3050e3067_090bbb70a24d621e06055c13e6802871980c5270,4,19,5,4
commons-lang,7202939fd1f3d96909cfb7574e94d62beb7b7ae8_090bbb70a24d621e06055c13e6802871980c5270,2,6,5,0
commons-lang,7202939fd1f3d96909cfb7574e94d62beb7b7ae8_01cb5861ae428263c246ec14d228ecb1d1cf5b48,3,30,27,3
commons-lang,ab03475d227ee181bb81d0619079cdf8c5d2bdd3_28f4a3bfe8ea203465612f255776f484393142ee,2,2,2,1
commons-lang,8b1455e0305f15f807e4281937ddb36ce6f48db8_60945fdb42f2e5cd23abb19e3bfc93d59e943ce9,2,3,2,0
commons-lang,8b1455e0305f15f807e4281937ddb36ce6f48db8_1f9a3fde5f3047416640fd523182b36717bf6387,3,5,2,0
commons-lang,8b1455e0305f15f807e4281937ddb36ce6f48db8_5514e421b3a94a80a404a2c29d34f9bc9716e038,4,17,13,1
commons-lang,1f9a3fde5f3047416640fd523182b36717bf6387_5514e421b3a94a80a404a2c29d34f9bc9716e038,2,14,13,0
commons-lang,0d059443776a539ed955bd50ac2c2812067c98ae_c90c3af528d14ae8d05919b5768bd1164d150b71,2,9,8,0
commons-lang,6db128f7c63aee525a6e95b1d24853c113446cfc_1f0758362d84fc19b909685b6343eebb7efd38c3,2,6,5,0
commons-lang,6db128f7c63aee525a6e95b1d24853c113446cfc_e3d453d12fd2c285d6a7a04d7e6319e37561e654,3,6,3,3
commons-lang,68ee605f122b1f993bb2d69b6aee60ab1a0269f4_934bfda1de1319419ed77a546b7430909da224f5,2,4,4,3
commons-lang,4c866592664ba7624bc0e87152b2296a2971e8d0_782e1990986a3adafc65b2999ef74a22c525dbce,2,0,0,0
commons-lang,4c866592664ba7624bc0e87152b2296a2971e8d0_a145b6d838914e38ee1027a1497de41140549080,3,32,32,0
commons-lang,bc8d6599dd2eb4b21b458f8bfa5177f351cdb2a8_13c7f19a5ad506340a7c8d8601ef4bf2426ab325,2,33,32,0
commons-lang,144668e3a30299d7c8a2b073024c14a51adbaad8_304d7100e669beb100595908256c3606bde15ff4,2,5,5,1
commons-lang,6ab98d913ae8cfc1cb54749ca7f6d20b5ec4b505_10d5473f12ac1d0e75a2808e4b936cd7780bca5e,2,11,10,0
commons-lang,6ab98d913ae8cfc1cb54749ca7f6d20b5ec4b505_f7059c744730e3ed02b6693f6b3a0576e92fb544,3,13,2,0
commons-lang,6ab98d913ae8cfc1cb54749ca7f6d20b5ec4b505_cead705cde6827b0e7dd264bd4894a2afaa06549,4,53,41,1
commons-lang,f7059c744730e3ed02b6693f6b3a0576e92fb544_cead705cde6827b0e7dd264bd4894a2afaa06549,2,42,41,0
commons-lang,f7059c744730e3ed02b6693f6b3a0576e92fb544_6be9d66f27585924bbf9d44288d6022abe4dcee7,3,46,5,1
commons-lang,72de230569d04a9bccbdc1d7e389f0912a21fd0b_2687020107a4658005659806d76c407fef4d906a,2,2,2,0
commons-lang,80807b322152356288fa441c92c2adf974479a7d_1f9b6d187115955fcd3fc3a9588f21ef10ea8c87,2,7,6,0
commons-lang,80807b322152356288fa441c92c2adf974479a7d_fb7e1ee93a50d60d248977783ec64b9ac95754d7,3,7,1,1
commons-lang,80807b322152356288fa441c92c2adf974479a7d_0094550f3bbb6554dbe4f50b72663452e6c46781,4,8,2,1
commons-lang,fb7e1ee93a50d60d248977783ec64b9ac95754d7_0094550f3bbb6554dbe4f50b72663452e6c46781,2,2,2,1
commons-lang,a08ef67f956ddf9cddd272bf0f8b7ea7300e70d2_0151872e4e1077468744fec344a4ced738166aac,2,1,1,1
commons-lang,a08ef67f956ddf9cddd272bf0f8b7ea7300e70d2_d6cc198e8c42096d7b95240578586b7b793ec3a5,3,2,1,1
commons-lang,d6cc198e8c42096d7b95240578586b7b793ec3a5_c9d786a4fe2639581047d878a64bab6fb24f1ab3,2,4,3,0
commons-lang,f605dc78dc3fd11d1a03c236bd87ed7e9c2f31ca_618eb082ec8a64ef3b20fd012aea0936cb7fe914,2,3,2,0
commons-lang,f605dc78dc3fd11d1a03c236bd87ed7e9c2f31ca_f978978ab15d4de7b222629e457a5540643c184f,3,6,3,0
commons-lang,f605dc78dc3fd11d1a03c236bd87ed7e9c2f31ca_9cddfd2b216ab39e58b558bbbf3d5a4e2a2a492f,4,9,3,0
commons-lang,f978978ab15d4de7b222629e457a5540643c184f_9cddfd2b216ab39e58b558bbbf3d5a4e2a2a492f,2,5,3,0
commons-lang,f978978ab15d4de7b222629e457a5540643c184f_366badafcb64dfd0e6a00a697ef676c7f01d9a48,3,7,2,0
commons-lang,f978978ab15d4de7b222629e457a5540643c184f_1933cbb9abece28eceb96e06bc609b92668c92dd,4,71,64,0
commons-lang,366badafcb64dfd0e6a00a697ef676c7f01d9a48_1933cbb9abece28eceb96e06bc609b92668c92dd,2,65,64,0
commons-lang,366badafcb64dfd0e6a00a697ef676c7f01d9a48_73c2ddbe8dc4469257272fd4e777f4b5a806b5b6,3,65,23,23
commons-lang,366badafcb64dfd0e6a00a697ef676c7f01d9a48_01ca008c236736c6b251be1a2f013c266d9451f4,4,66,1,23
commons-lang,73c2ddbe8dc4469257272fd4e777f4b5a806b5b6_01ca008c236736c6b251be1a2f013c266d9451f4,2,10,1,0
commons-lang,73c2ddbe8dc4469257272fd4e777f4b5a806b5b6_b5c34f62010169ed5ceab35f298cfea29a23c49d,3,14,4,0
commons-lang,73c2ddbe8dc4469257272fd4e777f4b5a806b5b6_61f8ef0c2677650b4c4f2007261da0715560a828,4,18,4,0
commons-lang,b5c34f62010169ed5ceab35f298cfea29a23c49d_61f8ef0c2677650b4c4f2007261da0715560a828,2,6,4,0
commons-lang,b5c34f62010169ed5ceab35f298cfea29a23c49d_622b818f5dd5a2edd47ed5bf5cb8edc079a67521,3,17,11,0
commons-lang,b5c34f62010169ed5ceab35f298cfea29a23c49d_d0c4b3bd591ecad3280e38775a7aaf2e8abfd704,4,18,1,0
commons-lang,622b818f5dd5a2edd47ed5bf5cb8edc079a67521_d0c4b3bd591ecad3280e38775a7aaf2e8abfd704,2,11,1,0
commons-lang,622b818f5dd5a2edd47ed5bf5cb8edc079a67521_727950849ba99e380706b6ddd93cf13a761764f2,3,12,2,1
commons-lang,622b818f5dd5a2edd47ed5bf5cb8edc079a67521_1743bf9f3b8b0f2009dc267a23fd42d0bb82566f,4,12,1,1
commons-lang,727950849ba99e380706b6ddd93cf13a761764f2_1743bf9f3b8b0f2009dc267a23fd42d0bb82566f,2,1,1,1
commons-lang,727950849ba99e380706b6ddd93cf13a761764f2_ecd97d766c3a167d27e9d09cbca38eda36497300,3,4,4,1
commons-lang,727950849ba99e380706b6ddd93cf13a761764f2_7ced18679cea00ca4f54f622656e78b1420644e6,4,5,2,2
commons-lang,ecd97d766c3a167d27e9d09cbca38eda36497300_7ced18679cea00ca4f54f622656e78b1420644e6,2,2,2,1
commons-lang,ecd97d766c3a167d27e9d09cbca38eda36497300_baec8dc3eac34eaa1e9a1a0ef7058e546fa78578,3,2,2,2
commons-lang,ecd97d766c3a167d27e9d09cbca38eda36497300_2835bfb46e708b5d08c87afaeb22e92664e2b395,4,2,2,2
commons-lang,baec8dc3eac34eaa1e9a1a0ef7058e546fa78578_2835bfb46e708b5d08c87afaeb22e92664e2b395,2,2,2,1
commons-lang,baec8dc3eac34eaa1e9a1a0ef7058e546fa78578_19b86ba4e1599bdbe248268f1a4ec47206abc77d,3,2,2,2
commons-lang,baec8dc3eac34eaa1e9a1a0ef7058e546fa78578_081ed4af9576b16600554902f7fa168a91a0c0d0,4,3,2,2
commons-lang,19b86ba4e1599bdbe248268f1a4ec47206abc77d_081ed4af9576b16600554902f7fa168a91a0c0d0,2,3,2,1
commons-lang,19b86ba4e1599bdbe248268f1a4ec47206abc77d_b04b8fe13869df0492d87431990a7eafcd6aa809,3,4,2,1
commons-lang,29a149cde84c2c706e4dfa65afe324888ce09285_843c5cb48d52dff5f3be604f135081c3d6342126,2,3,2,0
commons-lang,29a149cde84c2c706e4dfa65afe324888ce09285_209d8f1821cd7f4b9c6f5311981eb9dfbe801302,3,4,2,1
commons-lang,29a149cde84c2c706e4dfa65afe324888ce09285_b89a62f764116d1d969903f48e287c9eb984c868,4,4,2,3
commons-lang,209d8f1821cd7f4b9c6f5311981eb9dfbe801302_b89a62f764116d1d969903f48e287c9eb984c868,2,3,2,1
commons-lang,209d8f1821cd7f4b9c6f5311981eb9dfbe801302_0afcd15e183205a85a45a2775f1fb75a162a1389,3,3,2,2
commons-lang,209d8f1821cd7f4b9c6f5311981eb9dfbe801302_c45d5bff75edfef6387d40e681f9dc7c9b517bbb,4,3,2,2
commons-lang,0afcd15e183205a85a45a2775f1fb75a162a1389_c45d5bff75edfef6387d40e681f9dc7c9b517bbb,2,2,2,1
commons-lang,0afcd15e183205a85a45a2775f1fb75a162a1389_fba4da46f0ec9002b799f384e82f7bfb4c8088ca,3,2,1,1
commons-lang,0afcd15e183205a85a45a2775f1fb75a162a1389_ac657c6a1f67403add1b7d95a722f585cdf766a9,4,2,1,2
commons-lang,fba4da46f0ec9002b799f384e82f7bfb4c8088ca_ac657c6a1f67403add1b7d95a722f585cdf766a9,2,2,1,0
commons-lang,fba4da46f0ec9002b799f384e82f7bfb4c8088ca_30c33a7075347e1c7d3210ece425627bd1a1c491,3,2,1,1
commons-lang,fba4da46f0ec9002b799f384e82f7bfb4c8088ca_1ce7963883977b99ad519e1bf9989430169639a7,4,2,0,1
commons-lang,30c33a7075347e1c7d3210ece425627bd1a1c491_1ce7963883977b99ad519e1bf9989430169639a7,2,1,0,0
commons-lang,30c33a7075347e1c7d3210ece425627bd1a1c491_a4a455053e7e4a77320efd6db0814f4de82d754d,3,4,3,0
commons-lang,30c33a7075347e1c7d3210ece425627bd1a1c491_03d4267a13ebe7ff368eac4519bc766d4a2056c7,4,6,3,1
commons-lang,a4a455053e7e4a77320efd6db0814f4de82d754d_03d4267a13ebe7ff368eac4519bc766d4a2056c7,2,5,3,0
commons-lang,a4a455053e7e4a77320efd6db0814f4de82d754d_79dd6a2f742b8577d12aefd1781ebff8d8e39458,3,9,5,1
commons-lang,a4a455053e7e4a77320efd6db0814f4de82d754d_734a45976c8f9e71c3e2e2cf6fbc94c77031c1bd,4,16,7,1
commons-lang,79dd6a2f742b8577d12aefd1781ebff8d8e39458_734a45976c8f9e71c3e2e2cf6fbc94c77031c1bd,2,11,7,0
commons-lang,79dd6a2f742b8577d12aefd1781ebff8d8e39458_b0ee29d0ac4324acf272558d38fbb27d21987489,3,13,2,0
commons-lang,79dd6a2f742b8577d12aefd1781ebff8d8e39458_d1737a0acb3aa3df466cd4d8590bcaa8bbac5acd,4,18,6,1
commons-lang,b0ee29d0ac4324acf272558d38fbb27d21987489_d1737a0acb3aa3df466cd4d8590bcaa8bbac5acd,2,6,6,1
commons-lang,b0ee29d0ac4324acf272558d38fbb27d21987489_ff98209c7faae141faf2c5d9c8f681332696c8aa,3,10,4,1
commons-lang,ff98209c7faae141faf2c5d9c8f681332696c8aa_373a6daa11880f17fdcec1a0654365615207adfc,2,2,1,0
commons-lang,ff98209c7faae141faf2c5d9c8f681332696c8aa_ca3ab6a323c178048b8bd0d5e40b927cbc7125f2,3,5,4,1
commons-lang,ff98209c7faae141faf2c5d9c8f681332696c8aa_43621d722846acf22af6d3f855b8aa2b1006fe80,4,6,3,2
commons-lang,ca3ab6a323c178048b8bd0d5e40b927cbc7125f2_43621d722846acf22af6d3f855b8aa2b1006fe80,2,5,3,0
commons-lang,ca3ab6a323c178048b8bd0d5e40b927cbc7125f2_5c218b0ef305f5b87e7ad42a991ece7448579b70,3,6,4,3
commons-lang,ca3ab6a323c178048b8bd0d5e40b927cbc7125f2_52c26fec6092b9c19b42acf0d68afc7056b17e75,4,7,2,3
commons-lang,5c218b0ef305f5b87e7ad42a991ece7448579b70_52c26fec6092b9c19b42acf0d68afc7056b17e75,2,3,2,0
commons-lang,5c218b0ef305f5b87e7ad42a991ece7448579b70_41a35405107d9b0d187fefa057c8d69f43f27a1f,3,3,2,2
commons-lang,5c218b0ef305f5b87e7ad42a991ece7448579b70_6d99192968ea2cf62ef13cc3ec8adb2b0b04e3a5,4,4,1,2
commons-lang,41a35405107d9b0d187fefa057c8d69f43f27a1f_6d99192968ea2cf62ef13cc3ec8adb2b0b04e3a5,2,1,1,0
commons-lang,41a35405107d9b0d187fefa057c8d69f43f27a1f_6c06012a36688665036d01d06e2f2e56bf85c798,3,3,3,1
commons-lang,03a31c0e4abf8e64bb89ccfe8e4a334a0150a92f_f44a66fdf06b0735ebdba4ed798fbdd41b1432e9,2,3,2,0
commons-lang,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300_817eba2b097c0f8b0be30dcc27b8ce0477b681e9,2,3,3,1
commons-lang,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300_396a00b5b8a2eeb71de0ad58fe33141a273ba2d7,3,3,2,2
commons-lang,f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300_6823c3742ee16f5b28e550a6afb685553befc0c2,4,3,2,2
commons-lang,396a00b5b8a2eeb71de0ad58fe33141a273ba2d7_6823c3742ee16f5b28e550a6afb685553befc0c2,2,2,2,2
commons-lang,4ee6973853bf36d673617689b5cafd81f813b7df_f5d8a8ffa4d22d1db95517d8d1e0d87b54d813ef,2,2,2,0
commons-lang,4ee6973853bf36d673617689b5cafd81f813b7df_54ef07824f7c4b31fcc710445b74b978b45b8efa,3,2,1,1
commons-lang,4ee6973853bf36d673617689b5cafd81f813b7df_0d36b962faeb64ae075c7d3de3032251a6cc0807,4,2,1,1
commons-lang,54ef07824f7c4b31fcc710445b74b978b45b8efa_0d36b962faeb64ae075c7d3de3032251a6cc0807,2,1,1,1
commons-lang,54ef07824f7c4b31fcc710445b74b978b45b8efa_8a08c1140c3dd8c553629c3bee026b187f6171e2,3,2,2,1
commons-lang,16b9f183d25fefc4a65a517aa574fb8a96ccf82e_3c85a43e7f43073e7e63319bd9c75ea5fe8c89b1,2,2,2,0
commons-lang,16b9f183d25fefc4a65a517aa574fb8a96ccf82e_973c46986c5ec444d819e436e9235ee9fee9ada3,3,12,10,0
commons-lang,973c46986c5ec444d819e436e9235ee9fee9ada3_01b459d0a984f5e1e28f6a0d3707902d7773ab12,2,6,5,0
commons-lang,973c46986c5ec444d819e436e9235ee9fee9ada3_132b060527622e6100a18c276095694883921449,3,10,5,1
commons-lang,2c9c8753165dc7ce5dd1d5a6d741b445b33302c2_9420e869bbd7ed4f3247e2bb401b1dde41e301ba,2,4,2,0
commons-lang,2c9c8753165dc7ce5dd1d5a6d741b445b33302c2_09d39029b16dee61022dc8afde4d84f523f37813,3,6,3,1
commons-lang,aefc12c38171e1a84a90dc26e51b2c7aa111fdee_9bcdb80c62a90df30398086cdb60748ecb92f8eb,2,5,4,0
commons-lang,b3e9b048eabea06eb18a1656d230e65088149cfc_a6bd2d2dce6c84c518e67f9ab6e78544a50cb004,2,2,2,1
commons-lang,b3e9b048eabea06eb18a1656d230e65088149cfc_6b5acb4b3d45dbb34542119f98cfefec7e3ab17a,3,2,2,2
commons-lang,1afc73abcdbbad8c0cd5d3e433437574a7a21b40_010cad3999cf26199902fdc4172df2eea3e82dda,2,4,3,0
commons-lang,1afc73abcdbbad8c0cd5d3e433437574a7a21b40_48f923aed514df15919de71b2c2ca2340758402e,3,7,3,0
commons-lang,b6b57fd0af440f3bf9b4a977d3b8d71a6f539036_e891fd8c535798165eebfd84079d5e77a650b2b4,2,4,3,0
commons-lang,d23b22c78078ee7468e797e80188ae9508c0eee0_afd4015ce78b5144d0994ff12e2b32e0fec23273,2,30,2,2
commons-lang,d23b22c78078ee7468e797e80188ae9508c0eee0_f9758e835ae589cfeb23d6a7c246d082bdad6d9e,3,30,1,2
commons-lang,d23b22c78078ee7468e797e80188ae9508c0eee0_c7bbb7a0454d651a993bb626979825c8fcedd94f,4,30,4,4
commons-lang,f9758e835ae589cfeb23d6a7c246d082bdad6d9e_c7bbb7a0454d651a993bb626979825c8fcedd94f,2,4,4,0
commons-lang,f9758e835ae589cfeb23d6a7c246d082bdad6d9e_a306b0b34606c1c395ad868f1af3ae23cbdb9f5d,3,5,2,1
commons-lang,f9758e835ae589cfeb23d6a7c246d082bdad6d9e_7dacae468e40fa2ad391e6f84b7f21633649fb3e,4,5,0,1
commons-lang,a306b0b34606c1c395ad868f1af3ae23cbdb9f5d_7dacae468e40fa2ad391e6f84b7f21633649fb3e,2,0,0,0
commons-lang,a306b0b34606c1c395ad868f1af3ae23cbdb9f5d_bd10f51be22a727c9090b9f476bce03fe6f7b631,3,11,11,0
commons-lang,9e8fb076512db03814d06ca1d772f58db1fbcf0f_715ba1aece31050da6d73bc17337b7ae36dc82e7,2,1,0,0
commons-lang,9e8fb076512db03814d06ca1d772f58db1fbcf0f_2e01e1b7e76f47a28de58aeb8eab5cf20a3c6835,3,19,18,0
commons-lang,9e8fb076512db03814d06ca1d772f58db1fbcf0f_234329c2dfda0ade5ebfa01e6adaa91c4809e853,4,22,5,2
commons-lang,2e01e1b7e76f47a28de58aeb8eab5cf20a3c6835_234329c2dfda0ade5ebfa01e6adaa91c4809e853,2,6,5,0
commons-lang,2e01e1b7e76f47a28de58aeb8eab5cf20a3c6835_60ef9bc57b16f408f78ca4c5494f44c6c57d269b,3,9,3,0
commons-lang,2e01e1b7e76f47a28de58aeb8eab5cf20a3c6835_cf0b9bd322ecf7d5ab7ed465bdde13f366895ff1,4,9,1,1
commons-lang,60ef9bc57b16f408f78ca4c5494f44c6c57d269b_cf0b9bd322ecf7d5ab7ed465bdde13f366895ff1,2,1,1,0
commons-lang,60ef9bc57b16f408f78ca4c5494f44c6c57d269b_d9cafc8db21f2e906f80e9ffb0210a7593e24562,3,8,8,1
commons-lang,60ef9bc57b16f408f78ca4c5494f44c6c57d269b_11cc1719bca95e093e3b8d5944a0106555482fc5,4,10,3,1
commons-lang,d9cafc8db21f2e906f80e9ffb0210a7593e24562_11cc1719bca95e093e3b8d5944a0106555482fc5,2,3,3,1
commons-lang,d9cafc8db21f2e906f80e9ffb0210a7593e24562_73f7084421e8751f75491d18273dfc4e46ee0611,3,11,9,1
commons-lang,d9cafc8db21f2e906f80e9ffb0210a7593e24562_4977a3377230af958f7deb678dfe47c7bf470f80,4,15,6,3
commons-lang,73f7084421e8751f75491d18273dfc4e46ee0611_4977a3377230af958f7deb678dfe47c7bf470f80,2,6,6,1
commons-lang,73f7084421e8751f75491d18273dfc4e46ee0611_1ed830439caee02c42344821b17a033acae04bf8,3,8,2,1
